"sigmaA","sigmaB","size","mean_density","sd_density","se","ci_lower","ci_upper","log2_size","log2_density","log2_ci_lower","log2_ci_upper","sigma"
0,0,16,0.258613885948707,0.0718649580625802,0.00718649580625802,0.244354319147426,0.272873452749989,4,-1.95112835395613,-2.03295348935127,-1.87369605003317,"sigma = 0"
0,0,32,0.235972504363168,0.0599028777701229,0.00599028777701229,0.22408647381114,0.247858534915197,5,-2.08330932907088,-2.15787252660367,-2.01241115656399,"sigma = 0"
0,0,64,0.235666186701742,0.0544098452485551,0.00544098452485551,0.224870092974205,0.24646228042928,6,-2.08518331880746,-2.15283629498491,-2.02056122719521,"sigma = 0"
0,0,128,0.237120340646398,0.0416737087367675,0.00416737087367675,0.228851372715301,0.245389308577495,7,-2.07630866955795,-2.12751714922968,-2.02685570162509,"sigma = 0"
0,0,256,0.2511588755668,0.0502344977002462,0.00502344977002462,0.241191261377674,0.261126489755926,8,-1.99332783636197,-2.05175045711652,-1.9371792768344,"sigma = 0"
0,0,512,0.249100726874868,0.0403981201103164,0.00403981201103164,0.241084863401357,0.25711659034838,9,-2.00519886352444,-2.05238702122325,-1.95950539237381,"sigma = 0"
0,0,1024,0.271505571863715,0.0493489328768203,0.00493489328768203,0.261713672948027,0.281297470779404,10,-1.88094628942617,-1.93393879648909,-1.82983151383239,"sigma = 0"
0,0,2048,0.280759686622475,0.0366550400340382,0.00366550400340382,0.273486531442813,0.288032841802137,11,-1.83259229630021,-1.8704583093983,-1.79569477626222,"sigma = 0"
0,0,4096,0.291395330256491,0.0431127012503378,0.00431127012503378,0.282840834991531,0.299949825521451,12,-1.77895033714789,-1.82193767139194,-1.73720690258392,"sigma = 0"
0,0,8192,0.297034425891391,0.0423611280387674,0.00423611280387674,0.288629059057106,0.305439792725675,13,-1.75129794775169,-1.79271153779181,-1.71104006605901,"sigma = 0"
0,0,16384,0.319072788428304,0.044900100597602,0.0044900100597602,0.310163634354934,0.327981942501673,14,-1.64804251877881,-1.68889854974908,-1.60831170742334,"sigma = 0"
0,0,32768,0.321860320170554,0.0418157415875888,0.00418157415875888,0.313563169840429,0.330157470500679,15,-1.63549336653942,-1.67317197997813,-1.59877380458614,"sigma = 0"
0,0,65536,0.336412099426548,0.0430181473958893,0.00430181473958892,0.327876365697672,0.344947833155425,16,-1.57169850026705,-1.60877618315225,-1.53554989687647,"sigma = 0"
0,0,131072,0.343731960176159,0.0476186751623213,0.00476186751623213,0.334283381929242,0.353180538423075,17,-1.54064409524585,-1.58085645816174,-1.50152224763734,"sigma = 0"
0.25,0.25,16,0.197523793918924,0.0564329675089221,0.00564329675089221,0.186326268842971,0.208721318994877,4,-2.33990164260422,-2.42409701074267,-2.26035012861402,"sigma = 0.25"
0.25,0.25,32,0.161149613318961,0.0409524534789909,0.00409524534789909,0.153023758078754,0.169275468559168,5,-2.63352736825526,-2.70817243542377,-2.56255518221125,"sigma = 0.25"
0.25,0.25,64,0.140416717512783,0.0337125546937849,0.00337125546937849,0.133727415262313,0.147106019763252,6,-2.83221338690149,-2.90263283432915,-2.76507181019201,"sigma = 0.25"
0.25,0.25,128,0.128010764226965,0.0247727432877378,0.00247727432877378,0.123095314510082,0.132926213943848,7,-2.96566296556898,-3.02215224664515,-2.91130245304609,"sigma = 0.25"
0.25,0.25,256,0.118285857906401,0.0235557929408883,0.00235557929408883,0.113611877540264,0.122959838272538,8,-3.0796504975234,-3.13781442577819,-3.02374092230265,"sigma = 0.25"
0.25,0.25,512,0.113470269145709,0.0218575252661629,0.00218575252661629,0.109133261930424,0.117807276360994,9,-3.13961375485833,-3.19583721771206,-3.08549944497431,"sigma = 0.25"
0.25,0.25,1024,0.113008139002365,0.0206730602237798,0.00206730602237798,0.108906155348645,0.117110122656084,10,-3.14550141361418,-3.19884259776546,-3.0940623113236,"sigma = 0.25"
0.25,0.25,2048,0.101824434626499,0.0172983539678866,0.00172983539678866,0.0983920659087369,0.105256803344261,11,-3.29584429099347,-3.3453142048567,-3.24801460901787,"sigma = 0.25"
0.25,0.25,4096,0.0962091809178127,0.0152249573364812,0.00152249573364812,0.0931882190743901,0.0992301427612353,12,-3.37768161768581,-3.42370860997297,-3.33307776062858,"sigma = 0.25"
0.25,0.25,8192,0.0895351707520847,0.0129414783108023,0.00129414783108023,0.0869673006877965,0.0921030408163729,13,-3.4814016839066,-3.52338313367846,-3.44060740155494,"sigma = 0.25"
0.25,0.25,16384,0.0834001200138243,0.0130289144229941,0.00130289144229941,0.0808149007279369,0.0859853392997117,14,-3.58380673004694,-3.62923486679344,-3.53976549185115,"sigma = 0.25"
0.25,0.25,32768,0.0779945233524243,0.0104815830976102,0.00104815830976102,0.0759147498662503,0.0800742968385983,15,-3.68048336592412,-3.71947596827757,-3.64251696554681,"sigma = 0.25"
0.25,0.25,65536,0.0733702871196988,0.00978303276408726,0.000978303276408726,0.0714291211748561,0.0753114530645415,16,-3.76866025891021,-3.80734381847299,-3.73098690890201,"sigma = 0.25"
