"sigmaA","sigmaB","size","mean_density","sd_density","se","ci_lower","ci_upper","log2_size","log2_density","log2_ci_lower","log2_ci_upper","sigma"
0,0,16,0.256439378764974,0.065595268139819,0.0065595268139819,0.243423854466286,0.269454903063663,4,-1.96331027604016,-2.03845754214422,-1.89188425630862,"sigma = 0"
0,0,32,0.235289670531777,0.0514700874390803,0.00514700874390803,0.225076888532151,0.245502452531403,5,-2.08749010879046,-2.15151017008932,-2.02619065797583,"sigma = 0"
0,0,64,0.225924791841309,0.0459535871132765,0.00459535871132765,0.216806603187673,0.235042980494946,6,-2.14608550142953,-2.20551939796939,-2.08900349947101,"sigma = 0"
0,0,128,0.23565710823105,0.0429836018655247,0.00429836018655247,0.227128229084869,0.244185987377232,7,-2.0852388962202,-2.13842106946876,-2.03394768130002,"sigma = 0"
0,0,256,0.239832050565393,0.0398801430459687,0.00398801430459688,0.231918964979042,0.247745136151743,8,-2.05990362503445,-2.10830729490135,-2.01307136086063,"sigma = 0"
0,0,512,0.249785410213061,0.0396465037603681,0.00396465037603681,0.241918683729816,0.257652136696307,9,-2.00123888226483,-2.0474058998422,-1.95650353814886,"sigma = 0"
0,0,1024,0.272856925800476,0.0406037817595513,0.00406037817595513,0.264800254593894,0.280913597007058,10,-1.87378343145465,-1.91702358565321,-1.83180163824113,"sigma = 0"
0,0,2048,0.274159128238166,0.0428634322124034,0.00428634322124034,0.265654093358263,0.282664163118068,11,-1.86691458534277,-1.91237915199105,-1.82283910867314,"sigma = 0"
0,0,4096,0.291963424274765,0.0409193522466055,0.00409193522466055,0.283844137037199,0.30008271151233,12,-1.77614044811943,-1.81682915265704,-1.73656789069257,"sigma = 0"
0,0,8192,0.309312236552349,0.0440326755481242,0.00440326755481242,0.30057519842772,0.318049274676978,13,-1.69286418656787,-1.73420212283039,-1.65267779848134,"sigma = 0"
0,0,16384,0.31370187975895,0.0439667174273954,0.00439667174273954,0.304977929156445,0.322425830361455,14,-1.6725339207878,-1.71322325433866,-1.63296076838617,"sigma = 0"
0,0,32768,0.321457472639512,0.0410158778444451,0.00410158778444451,0.313319032629197,0.329595912649827,15,-1.63730020669752,-1.674295685709,-1.60122974325333,"sigma = 0"
0,0,65536,0.337770626337862,0.039906741814894,0.0039906741814894,0.329852262978692,0.345688989697031,16,-1.56588422287382,-1.60010809221089,-1.53245344084578,"sigma = 0"
0,0,131072,0.343329661344323,0.0446958038877707,0.00446958038877707,0.334461044170433,0.352198278518213,17,-1.54233359318256,-1.58008990989503,-1.50554023733467,"sigma = 0"
0,0.25,16,0.231591949416625,0.0633091289701747,0.00633091289701747,0.219030044727346,0.244153854105904,4,-2.11034299155409,-2.19079931453064,-2.03413754297962,"sigma = 0.25"
0,0.25,32,0.204367589995702,0.0518320768859191,0.00518320768859191,0.194082981436405,0.214652198554999,5,-2.29076167287729,-2.36525447695811,-2.21992714535739,"sigma = 0.25"
0,0.25,64,0.172247603985587,0.0417270019095741,0.00417270019095741,0.163968061532802,0.180527146438373,6,-2.53744418012704,-2.60851326757779,-2.46971229884272,"sigma = 0.25"
0,0.25,128,0.177194759150268,0.0351333998612332,0.00351333998612332,0.170223530393116,0.184165987907421,7,-2.49659216063174,-2.55449761699949,-2.44092144826863,"sigma = 0.25"
0,0.25,256,0.168671507864646,0.0277509416075884,0.00277509416075884,0.16316511898862,0.174177896740672,8,-2.56771180196117,-2.61559542018016,-2.52136653803355,"sigma = 0.25"
0,0.25,512,0.172284613924096,0.0249258053926186,0.00249258053926186,0.167338793364899,0.177230434483294,9,-2.53713422911416,-2.57915615753635,-2.49630172627698,"sigma = 0.25"
0,0.25,1024,0.176492384093712,0.0313128856089178,0.00313128856089178,0.170279228250882,0.182705539936542,10,-2.50232216446338,-2.55402563830409,-2.45240771534012,"sigma = 0.25"
0,0.25,2048,0.178254784062696,0.0280248738088726,0.00280248738088726,0.172694041094933,0.18381552703046,11,-2.487987298157,-2.53370979216591,-2.44366945761997,"sigma = 0.25"
0,0.25,4096,0.175932518439616,0.0280449365646995,0.00280449365646995,0.170367794585832,0.1814972422934,12,-2.50690592728148,-2.55327545288319,-2.46198046710634,"sigma = 0.25"
0,0.25,8192,0.176731205220375,0.0270588182221876,0.00270588182221876,0.171362148639739,0.182100261801011,13,-2.50037129754497,-2.54487962021141,-2.45719509844439,"sigma = 0.25"
0,0.25,16384,0.169953253646663,0.0231135253446429,0.00231135253446429,0.165367028766687,0.174539478526639,14,-2.55679011326683,-2.59625647934145,-2.51837470296344,"sigma = 0.25"
0,0.25,32768,0.172236632520383,0.0211078305717282,0.00211078305717282,0.16804838099722,0.176424884043547,15,-2.53753607680485,-2.57305145131038,-2.5028740331171,"sigma = 0.25"
0,0.25,65536,0.170019020239199,0.0209245377351979,0.00209245377351979,0.16586713799137,0.174170902487028,16,-2.55623194340783,-2.59190001060114,-2.52142447177738,"sigma = 0.25"
0,0.25,131072,0.166681777136076,0.0220402434570438,0.00220402434570438,0.16230851466762,0.171055039604531,17,-2.5848317078544,-2.6231894095638,-2.54746748563474,"sigma = 0.25"
0,0.5,16,0.201917555625591,0.0598286992325803,0.00598286992325803,0.190046243704726,0.213788867546456,4,-2.30816174433235,-2.39557758451052,-2.2257413641567,"sigma = 0.5"
0,0.5,32,0.156140742260099,0.039546021320568,0.0039546021320568,0.148293953672892,0.163987530847306,5,-2.67908106181697,-2.75346831829483,-2.60834197436511,"sigma = 0.5"
0,0.5,64,0.140819243209675,0.033803855804642,0.0033803855804642,0.13411182483802,0.147526661581331,6,-2.82808360049871,-2.89849164748046,-2.76095238749607,"sigma = 0.5"
0,0.5,128,0.13262839398191,0.0269348160584634,0.00269348160584634,0.127283942120803,0.137972845843016,7,-2.91453842447706,-2.97387767159428,-2.85754373384305,"sigma = 0.5"
0,0.5,256,0.12148640859295,0.0221553337815933,0.00221553337815933,0.1170903097072,0.125882507478699,8,-3.04113317490285,-3.09430641030223,-2.98985027352276,"sigma = 0.5"
0,0.5,512,0.115037248880146,0.0192439404741259,0.00192439404741259,0.111218833589737,0.118855664170554,9,-3.11982701568762,-3.16852698285263,-3.07271743707566,"sigma = 0.5"
0,0.5,1024,0.109844945163283,0.0165986642716134,0.00165986642716134,0.106551410061141,0.113138480265426,10,-3.18645961343438,-3.23037840955882,-3.14383839768873,"sigma = 0.5"
0,0.5,2048,0.102686976980109,0.0135159411786626,0.00135159411786626,0.100005121019774,0.105368832940444,11,-3.28367486783252,-3.32185421608069,-3.24647989974944,"sigma = 0.5"
0,0.5,4096,0.0956834015338143,0.012432378510734,0.0012432378510734,0.0932165479148606,0.098150255152768,12,-3.38558751168586,-3.4232701031833,-3.34886417162832,"sigma = 0.5"
0,0.5,8192,0.0940143552859861,0.0126282499137553,0.00126282499137553,0.0915086365312118,0.0965200740407604,13,-3.4109751274667,-3.44994827924413,-3.37302716752611,"sigma = 0.5"
0,0.5,16384,0.0881299571892695,0.0122320688760703,0.00122320688760703,0.0857028493475823,0.0905570650309566,14,-3.50422368547539,-3.54451301961091,-3.46502898882556,"sigma = 0.5"
0,0.5,32768,0.083007347354739,0.00918036932258493,0.000918036932258493,0.0811857629115693,0.0848289317979087,15,-3.59061714821751,-3.62262943745963,-3.55929979476614,"sigma = 0.5"
