"sigmaA","sigmaB","size","mean_density","sd_density","se","ci_lower","ci_upper","log2_size","log2_density","log2_ci_lower","log2_ci_upper","sigma"
0.25,0.25,16,0.194659126031096,0.0580991130975514,0.00821645537044054,0.178147540781681,0.211170711280511,4,-2.36097811202506,-2.48885552680521,-2.2435183436215,"sigma = 0.25"
0.25,0.25,32,0.155295114010922,0.0364498738579313,0.0051547905956675,0.144936174477282,0.165654053544562,5,-2.68691565539461,-2.78651037421218,-2.59375458837706,"sigma = 0.25"
0.25,0.25,64,0.132411688862161,0.0292582404080458,0.00413774003962309,0.124096588940856,0.140726788783466,6,-2.9168976108153,-3.01046463442106,-2.82903110841456,"sigma = 0.25"
0.25,0.25,128,0.128916396981005,0.0291000586581003,0.00411536976201381,0.120646251815632,0.137186542146379,7,-2.95549232196581,-3.05114499964864,-2.86578913328169,"sigma = 0.25"
0.25,0.25,256,0.117652149279725,0.022430190991486,0.00317210803067784,0.111277559531776,0.124026739027674,8,-3.08740041880558,-3.16776540981201,-3.01127690892053,"sigma = 0.25"
0.25,0.25,512,0.111785216917003,0.0238326885747027,0.00337045114101588,0.105012041766063,0.118558392067942,9,-3.16119868390391,-3.25137332318564,-3.07633030835345,"sigma = 0.25"
0.25,0.25,1024,0.104739817914932,0.0200695489609656,0.00283826283313084,0.0990361152090081,0.110443520620856,10,-3.25511809304029,-3.33590146527323,-3.17861931215937,"sigma = 0.25"
0.25,0.25,2048,0.10404935996284,0.0213230843619598,0.00301553950963092,0.0979894064377013,0.11010931348798,11,-3.2646600042137,-3.35123040081112,-3.18299159188291,"sigma = 0.25"
0.25,0.25,4096,0.0956572423751472,0.0163895870722836,0.00231783763193182,0.0909993732663308,0.100315111483964,12,-3.38598198813318,-3.45799958060262,-3.3173891447616,"sigma = 0.25"
0.25,0.25,8192,0.0917123841669555,0.0148558308072554,0.00210093174079406,0.087490403765757,0.0959343645681541,13,-3.44673963185502,-3.51473140367293,-3.38180849537153,"sigma = 0.25"
0.25,0.25,16384,0.0851955394682175,0.012057626612795,0.00170520590858454,0.0817687999001195,0.0886222790363154,14,-3.55307829166564,-3.61230572332925,-3.49618676170834,"sigma = 0.25"
0.25,0.25,32768,0.0767305637565515,0.00917918138138135,0.00129813228010321,0.0741218692719379,0.079339258241165,15,-3.70405483503323,-3.75395692477018,-3.65582128027735,"sigma = 0.25"
0.25,0.25,65536,0.0721355032786408,0.00873797854247974,0.00123573677624999,0.0696521972534789,0.0746188093038027,16,-3.79314669733685,-3.84368732486353,-3.7443168505957,"sigma = 0.25"
0.25,0.25,131072,0.0645415017686173,0.00648857583747365,0.000917623194984159,0.0626974689189617,0.0663855346182729,17,-3.95362904255213,-3.9954489868075,-3.91298727663634,"sigma = 0.25"
0.5,0.5,16,0.146837659269727,0.0448171197355394,0.00633809785564988,0.134100774768511,0.159574543770943,4,-2.76770607306862,-2.89861052243648,-2.64769757180204,"sigma = 0.5"
0.5,0.5,32,0.0941800830190388,0.0280183979347451,0.00396239983552828,0.0862173424299561,0.102142823608121,5,-3.40843419541183,-3.5358780963167,-3.29134024870826,"sigma = 0.5"
0.5,0.5,64,0.0812777603602778,0.0190208154535617,0.00268994951818227,0.0758721044194109,0.0866834163011446,6,-3.62099554112967,-3.72028663632363,-3.5281001768185,"sigma = 0.5"
0.5,0.5,128,0.0606018195385022,0.0128286449638995,0.00181424436948159,0.0569559589794908,0.0642476800975136,7,-4.04449507924868,-4.13400939893146,-3.96021182842133,"sigma = 0.5"
0.5,0.5,256,0.0494834244562343,0.0136955664613752,0.00193684558340589,0.0455911875336787,0.0533756613787899,8,-4.33691084558264,-4.45510120157148,-4.22767414847038,"sigma = 0.5"
0.5,0.5,512,0.0390450036634737,0.00823254482383066,0.00116425765427057,0.0367053403118134,0.041384667015134,9,-4.67871824194786,-4.76786621169594,-4.59475984037368,"sigma = 0.5"
0.5,0.5,1024,0.0313763720570712,0.00585594099823071,0.000828155118015451,0.0297121320394055,0.0330406120747369,10,-4.99417764173436,-5.07280405810132,-4.91961577695779,"sigma = 0.5"
0.5,0.5,2048,0.0265207667447948,0.00520416227161915,0.000735979686531417,0.0250417601917111,0.0279997732978785,11,-5.23673370380678,-5.31952021653765,-5.15844104343843,"sigma = 0.5"
0.5,0.5,4096,0.0213460942861679,0.00356731940239215,0.000504495148017966,0.0203322733294592,0.0223599152428767,12,-5.54988406697548,-5.62008465940373,-5.48294147023911,"sigma = 0.5"
