"sigmaA","sigmaB","size","mean_density","sd_density","se","ci_lower","ci_upper","log2_size","log2_density","log2_ci_lower","log2_ci_upper","sigma"
0,0,16,0.256875453514739,0.0748408494045178,0.0105840944247391,0.235605919451346,0.278144987578133,4,-1.96085905900637,-2.0855523084532,-1.84609098771873,"sigma = 0"
0,0,32,0.234589256296453,0.0594375341870125,0.00840573669612876,0.217697295982084,0.251481216610822,5,-2.09179115246192,-2.19960460696375,-1.99147744720013,"sigma = 0"
0,0,64,0.217615483819333,0.0483570134060625,0.00683871441947111,0.203872572668165,0.231358394970501,6,-2.20014688372819,-2.29426039475191,-2.11179864602706,"sigma = 0"
0,0,128,0.230490593609805,0.0425085530820285,0.00601161722854614,0.218409796492219,0.242571390727391,7,-2.11722021984833,-2.1948905269365,-2.04351868824431,"sigma = 0"
0,0,256,0.244595974471644,0.0460718345656153,0.00651554132861028,0.231502503961177,0.257689444982111,8,-2.03152743451179,-2.11090029694036,-1.95629464959446,"sigma = 0"
0,0,512,0.257440785640246,0.0448607506680719,0.00634426820130252,0.244691501365202,0.27019006991529,9,-1.95768746098824,-2.03096410034051,-1.88795344149402,"sigma = 0"
0,0,1024,0.271925787129687,0.0485762668723525,0.00686972154203358,0.258120564832843,0.285731009426531,10,-1.87871512410558,-1.95388300730883,-1.8072704792704,"sigma = 0"
0,0,2048,0.284034999688438,0.0458108331941133,0.00647863016067266,0.271015704947032,0.297054294429845,11,-1.81585938077076,-1.88355163890709,-1.75120144956572,"sigma = 0"
0,0,4096,0.282463596241263,0.0421038129414554,0.00595437832894261,0.270497824998921,0.294429367483605,12,-1.8238631491521,-1.88631110111581,-1.76400651652945,"sigma = 0"
0,0,8192,0.304367536595622,0.0405120115284091,0.00572926361424913,0.292854150309442,0.315880922881803,13,-1.71611360362174,-1.77174575451737,-1.66254728440874,"sigma = 0"
0,0,16384,0.315190947455478,0.0397798924018597,0.00562572633444524,0.303885627122911,0.326496267788045,14,-1.66570199489205,-1.71839965355417,-1.61486159461475,"sigma = 0"
0,0,32768,0.324240093713333,0.040722519929207,0.00575903399778932,0.31266688160159,0.335813305825076,15,-1.62486559741569,-1.67730168112338,-1.57426870002772,"sigma = 0"
0,0,65536,0.339317181217759,0.0378923591527424,0.00535878882241206,0.328548291899235,0.350086070536283,16,-1.55929361258354,-1.60582265321949,-1.51421843491477,"sigma = 0"
0,0,131072,0.348792611377657,0.049588223029423,0.00701283375421918,0.334699794323074,0.36288542843224,17,-1.51955861567194,-1.57906043041557,-1.46241396794229,"sigma = 0"
0.25,0.25,16,0.194603792671975,0.0444943373414987,0.0062924495317151,0.181958641912154,0.207248943431795,4,-2.36138826752409,-2.45831752297277,-2.27056334809804,"sigma = 0.25"
0.25,0.25,32,0.154175842005064,0.0372083084790869,0.00526204944840866,0.143601357736993,0.164750326273136,5,-2.69735136951702,-2.79985870511939,-2.60164677252402,"sigma = 0.25"
0.25,0.25,64,0.146339547162497,0.0318183366623925,0.00449979232401085,0.137296875935941,0.155382218389053,6,-2.77260839523156,-2.86462929622684,-2.686106680651,"sigma = 0.25"
0.25,0.25,128,0.125575138866259,0.0226967962390333,0.00320981170636595,0.119124780745299,0.13202549698722,7,-2.99337722448401,-3.06945453609705,-2.92111152269106,"sigma = 0.25"
