"sigmaA","sigmaB","size","mean_density","sd_density","se","ci_lower","ci_upper"
0.25,0.25,16,0.194659126031096,0.0580991130975514,0.00821645537044054,0.178147540781681,0.211170711280511
0.25,0.25,32,0.155295114010922,0.0364498738579313,0.0051547905956675,0.144936174477282,0.165654053544562
0.25,0.25,64,0.132411688862161,0.0292582404080458,0.00413774003962309,0.124096588940856,0.140726788783466
0.25,0.25,128,0.128916396981005,0.0291000586581003,0.00411536976201381,0.120646251815632,0.137186542146379
0.25,0.25,256,0.117652149279725,0.022430190991486,0.00317210803067784,0.111277559531776,0.124026739027674
0.25,0.25,512,0.111785216917003,0.0238326885747027,0.00337045114101588,0.105012041766063,0.118558392067942
0.25,0.25,1024,0.104739817914932,0.0200695489609656,0.00283826283313084,0.0990361152090081,0.110443520620856
0.25,0.25,2048,0.10404935996284,0.0213230843619598,0.00301553950963092,0.0979894064377013,0.11010931348798
0.25,0.25,4096,0.0956572423751472,0.0163895870722836,0.00231783763193182,0.0909993732663308,0.100315111483964
0.25,0.25,8192,0.0917123841669555,0.0148558308072554,0.00210093174079406,0.087490403765757,0.0959343645681541
0.25,0.25,16384,0.0851955394682175,0.012057626612795,0.00170520590858454,0.0817687999001195,0.0886222790363154
0.25,0.25,32768,0.0767305637565515,0.00917918138138135,0.00129813228010321,0.0741218692719379,0.079339258241165
0.25,0.25,65536,0.0721355032786408,0.00873797854247974,0.00123573677624999,0.0696521972534789,0.0746188093038027
0.25,0.25,131072,0.0645415017686173,0.00648857583747365,0.000917623194984159,0.0626974689189617,0.0663855346182729
0.5,0.5,16,0.146837659269727,0.0448171197355394,0.00633809785564988,0.134100774768511,0.159574543770943
0.5,0.5,32,0.0941800830190388,0.0280183979347451,0.00396239983552828,0.0862173424299561,0.102142823608121
0.5,0.5,64,0.0812777603602778,0.0190208154535617,0.00268994951818227,0.0758721044194109,0.0866834163011446
0.5,0.5,128,0.0606018195385022,0.0128286449638995,0.00181424436948159,0.0569559589794908,0.0642476800975136
0.5,0.5,256,0.0494834244562343,0.0136955664613752,0.00193684558340589,0.0455911875336787,0.0533756613787899
0.5,0.5,512,0.0390450036634737,0.00823254482383066,0.00116425765427057,0.0367053403118134,0.041384667015134
0.5,0.5,1024,0.0313763720570712,0.00585594099823071,0.000828155118015451,0.0297121320394055,0.0330406120747369
0.5,0.5,2048,0.0265207667447948,0.00520416227161915,0.000735979686531417,0.0250417601917111,0.0279997732978785
0.5,0.5,4096,0.0213460942861679,0.00356731940239215,0.000504495148017966,0.0203322733294592,0.0223599152428767
0.5,0.5,8192,0.0160089013454124,0.00209013959941925,0.000295590376875177,0.0154148902437104,0.0166029124471145
0.5,0.5,16384,0.0124704322214837,0.00157307086732604,0.000222465815514649,0.0120233704275177,0.0129174940154497
0.5,0.5,32768,0.00974529033206286,0.00119006669494819,0.000168300846012425,0.00940707711952839,0.0100835035445973
0.5,0.5,65536,0.00757595765749556,0.000734772797667111,0.000103912565572365,0.00736713753889477,0.00778477777609636
0.5,0.5,131072,0.00609781581996032,0.000826417839634109,0.000116873131699763,0.00586295046861073,0.00633268117130991
0.75,0.75,16,0.10249028931996,0.0406293296556766,0.00574585490291852,0.090943561590917,0.114037017049002
0.75,0.75,32,0.057201695375,0.0118274870303198,0.00167265925670702,0.0538403607525665,0.0605630299974334
0.75,0.75,64,0.0392544001205867,0.0111038562474788,0.00157032240998257,0.0360987190911767,0.0424100811499968
0.75,0.75,128,0.0237681139725343,0.00609252699592324,0.000861613430675886,0.02203663695827,0.0254995909867985
0.75,0.75,256,0.0157326809777426,0.00350579635930934,0.000495794475825349,0.0147363446764185,0.0167290172790667
0.75,0.75,512,0.00988127816254395,0.00180177923835062,0.000254810063527771,0.00936921816870722,0.0103933381563807
0.75,0.75,1024,0.00667415580101815,0.00139753717915421,0.000197641603268052,0.00627698012926415,0.00707133147277215
0.75,0.75,2048,0.00429091799402767,0.000687810643487303,9.7271114036431e-05,0.00409544437197209,0.00448639161608326
0.75,0.75,4096,0.00280065936924011,0.000453151820065092,6.40853449750105e-05,0.00267187504691545,0.00292944369156478
0.75,0.75,8192,0.00190221677230564,0.000310506887058345,4.39123050888162e-05,0.00181397169139389,0.00199046185321739
0.75,0.75,16384,0.00119359458038483,0.000186628486048828,2.6393253609541e-05,0.00114055535150383,0.00124663380926584
0.75,0.75,32768,0.000757087749482008,8.1285733692647e-05,1.14955387015589e-05,0.000733986599569895,0.000780188899394122
0.75,0.75,65536,0.000506645340976486,6.87100493872955e-05,9.71706837148385e-06,0.00048711816099966,0.000526172520953311
0.75,0.75,131072,0.000307151974697144,4.39023184931956e-05,6.20872542327004e-06,0.000294675073832406,0.000319628875561882
