"sigmaA","sigmaB","size","mean_density","sd_density","se","ci_lower","ci_upper","log2_size","log2_density","log2_ci_lower","log2_ci_upper","sigma"
0.1,0.1,16,0.237599473057806,0.0656570973770995,0.0092853157576745,0.218939932442258,0.256259013673355,4,-2.07339645831826,-2.19139298329987,-1.96432534391554,"sigma = 0.1"
0.1,0.1,32,0.194771171024498,0.0444913235136058,0.00629202331208703,0.182126876785088,0.207415465263908,5,-2.36014794158368,-2.45698425580505,-2.26940462683204,"sigma = 0.1"
0.1,0.1,64,0.190511300363289,0.0431970794439899,0.00610898956045986,0.178234826218708,0.20278777450787,6,-2.39205151976953,-2.48814883488486,-2.30195741586228,"sigma = 0.1"
0.1,0.1,128,0.182562055418133,0.0320195569996135,0.00452824917700318,0.173462198004476,0.191661912831789,7,-2.45354115513294,-2.5273067991936,-2.38336442260745,"sigma = 0.1"
0.1,0.1,256,0.191946717168238,0.0400659237915218,0.00566617728149771,0.180560107614156,0.20333332672232,8,-2.38122220865719,-2.46944891139583,-2.2980813998396,"sigma = 0.1"
0.1,0.1,512,0.201492829933049,0.0357011016214896,0.00504889821047707,0.191346689114488,0.21163897075161,9,-2.31119959312707,-2.38573915672095,-2.24032278816611,"sigma = 0.1"
0.1,0.1,1024,0.193052575565397,0.0291642411762809,0.00412444654078163,0.184764189930179,0.201340961200615,10,-2.37293429310363,-2.43624292696648,-2.31228738805565,"sigma = 0.1"
0.1,0.1,2048,0.195267524949895,0.0313414583424521,0.00443235154524471,0.18636038104232,0.204174668857471,11,-2.35647606112339,-2.42383290951454,-2.29212420702923,"sigma = 0.1"
0.1,0.1,4096,0.203160885075743,0.0316866151920921,0.00448116409503541,0.194155648676847,0.212166121474639,12,-2.29930543066741,-2.36471441391175,-2.23673378869404,"sigma = 0.1"
0.1,0.1,8192,0.204623748302213,0.0326637132216017,0.00461934662354545,0.19534082371582,0.213906672888607,13,-2.28895450322746,-2.3559346094739,-2.22494660633886,"sigma = 0.1"
0.1,0.1,16384,0.200242135135356,0.029372349080996,0.00415387744291015,0.191894605888014,0.208589664382698,14,-2.32018251554449,-2.38161393660049,-2.26126042079404,"sigma = 0.1"
0.1,0.1,32768,0.204636352572625,0.0267018650400579,0.00377621396803058,0.197047766492369,0.21222493865288,15,-2.28886563984506,-2.34338269805635,-2.23633389689667,"sigma = 0.1"
0.1,0.1,65536,0.193907717340425,0.0283276167899528,0.00400612998540591,0.185857097725033,0.201958336955818,16,-2.36655787242667,-2.42773431033484,-2.30787039233952,"sigma = 0.1"
0.1,0.1,131072,0.193370644051818,0.0271382560599881,0.0038379289779189,0.185658037015931,0.201083251087704,17,-2.37055930160024,-2.42928032501087,-2.31413517524815,"sigma = 0.1"
0.2,0.2,16,0.211349462045891,0.0603445259952529,0.00853400470774624,0.194199737511659,0.228499186580122,4,-2.24229765464884,-2.3643868441348,-2.12973906535418,"sigma = 0.2"
0.2,0.2,32,0.169775648269061,0.0464584950256867,0.00657022337527692,0.156572290071697,0.182979006466425,5,-2.5582985537875,-2.67509918566499,-2.45024996006204,"sigma = 0.2"
0.2,0.2,64,0.15164593945238,0.036202639301127,0.00511982634933551,0.141357263202354,0.161934615702407,6,-2.72122122673302,-2.82258208142604,-2.62651668080861,"sigma = 0.2"
0.2,0.2,128,0.148159770888347,0.0345983087580431,0.00489293974807964,0.138327040333841,0.157992501442854,7,-2.75477432213298,-2.85384489109357,-2.66207200729465,"sigma = 0.2"
0.2,0.2,256,0.1446988384079,0.0300787424537694,0.00425377655172481,0.136150554385273,0.153247122430527,8,-2.78887475442677,-2.87672523804913,-2.70606811065604,"sigma = 0.2"
0.2,0.2,512,0.136923734743194,0.0333750205025147,0.00471994066391365,0.127438658864274,0.146408810622114,9,-2.86855554582019,-2.97212510542909,-2.77192571982852,"sigma = 0.2"
0.2,0.2,1024,0.134167375911465,0.0214776302316758,0.00303739559612703,0.128063500936123,0.140271250886807,10,-2.89789418588749,-2.96506873959472,-2.83370874133293,"sigma = 0.2"
0.2,0.2,2048,0.129940619776199,0.022538893608807,0.00318748090224591,0.123535137086224,0.136346102466175,11,-2.94407560336893,-3.01700664910827,-2.87465463433413,"sigma = 0.2"
